address,symbol,swap_count,fee_tier,token0_usd,token1_usd,position_size_token1_raw,config
0xd0b53d9277642d899df5c87a3966a349a798f224,WETH/USDC,11660319,500,3000.0,1.0,10000000000,pool_d0b53d92.yaml
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,7552637,556,3000.0,1.0,10000000000,pool_b2cc224c.yaml
0x4e962bb3889bf030368f56810a9c96b83cb3e778,USDC/cbBTC,2650023,279,1.0,100000.0,10000000,pool_4e962bb3.yaml
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,WETH/cbBTC,2192469,200,3000.0,100000.0,10000000,pool_70acdf2a.yaml
0x6c561b446416e1a00e8e93e221854d6ea4171372,WETH/USDC,975423,3000,3000.0,1.0,10000000000,pool_6c561b44.yaml
0x1024c20c048ea6087293f46d4a1c042cb6705924,WETH/BID,61006,2700,3000.0,0.03294167481940351,303566836076887586897920,pool_1024c20c.yaml
0x52869a653106cd58805982a47a883874fb351778,WETH/BID,27396,10000,3000.0,0.0329889193522623,303132087875264835485696,pool_52869a65.yaml
0x72764a83b78074e517fd1e2da8c4c289020c6498,USDC/xSN64,10180,3000,1.0,25.838897713639852,387013413297471815680,pool_72764a83.yaml
0x9c2b2dcd45dc4698945e57d8b85ba8e73a84dfcc,xSN35/USDC,9716,3000,3.400914076955078,1.0,10000000000,pool_9c2b2dcd.yaml
0x29b2cbecc8ca3566d71b63995d106ea0953f59b5,USDC/xSN9,5804,3000,1.0,6.503625960080967,1537603801537735557120,pool_29b2cbec.yaml
0xf9d5533091b5339bc102fce5decfe74c09512315,USDC/xTAO,5119,3000,1.0,308.7200916674556,32391801732074213376,pool_f9d55330.yaml
0x9baa2635cc6e65042b4f11a397d8a8aba5255777,USDC/xSN8,1362,3000,1.0,10.718403963307654,932974725923097411584,pool_9baa2635.yaml
0x2bc4c1cb9d29dda5505405d131cf338af39bea56,xSN44/USDC,1036,3000,4.741767296102497,1.0,10000000000,pool_2bc4c1cb.yaml
