address,swap_count,symbol,token0,token1,dec0,dec1,fee_tier,tick_spacing,token0_known,token1_known,viable
0xd0b53d9277642d899df5c87a3966a349a798f224,11660319,WETH/USDC,0x4200000000000000000000000000000000000006,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,18,6,500,10,True,True,True
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,7552637,WETH/USDC,0x4200000000000000000000000000000000000006,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,18,6,580,100,True,True,True
0x4e962bb3889bf030368f56810a9c96b83cb3e778,2650023,USDC/cbBTC,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,6,8,282,100,True,True,True
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,2192469,WETH/cbBTC,0x4200000000000000000000000000000000000006,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,18,8,230,100,True,True,True
0x6c561b446416e1a00e8e93e221854d6ea4171372,975423,WETH/USDC,0x4200000000000000000000000000000000000006,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,18,6,3000,60,True,True,True
0x1024c20c048ea6087293f46d4a1c042cb6705924,61006,WETH/BID,0x4200000000000000000000000000000000000006,0xa1832f7F4e534aE557f9B5AB76dE54B1873e498B,18,18,2700,200,True,True,True
0x52869a653106cd58805982a47a883874fb351778,27396,WETH/BID,0x4200000000000000000000000000000000000006,0xa1832f7F4e534aE557f9B5AB76dE54B1873e498B,18,18,10000,200,True,True,True
0x72764a83b78074e517fd1e2da8c4c289020c6498,10180,USDC/xSN64,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xbAdd3F2d84605032C1B2AD8cBebb4700Dcd9D7dE,6,18,3000,200,True,False,False
0x9c2b2dcd45dc4698945e57d8b85ba8e73a84dfcc,9716,xSN35/USDC,0x38d50D6398dcBB03F334C4409f61117aD37c1A34,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,18,6,3000,200,False,True,False
0x29b2cbecc8ca3566d71b63995d106ea0953f59b5,5804,USDC/xSN9,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xc995C19aaDec7f9005b64e447baccdA46F413Ea1,6,18,3000,200,True,False,False
0xf9d5533091b5339bc102fce5decfe74c09512315,5119,USDC/xTAO,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xb99FBE68c8A0cC14bE8c1AF73DD4DfEA8a76aDD7,6,18,3000,200,True,True,True
0x9baa2635cc6e65042b4f11a397d8a8aba5255777,1362,USDC/xSN8,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xD321054982b8Aa84785c21E1e2371ebf2e00Eb47,6,18,3000,200,True,False,False
0x2bc4c1cb9d29dda5505405d131cf338af39bea56,1036,xSN44/USDC,0x2cd86CaBfdE8FfA81d7290bE026b74931C4d1ae4,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,18,6,3000,200,False,True,False
0x860d4ccef86633f12eaf2161080515ef41d9dc70,699,xSN34/USDC,0x150E673eC255e87A49cE0848216f07EBb107379e,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,18,6,3000,200,False,True,False
0xb35b9857801beaf161e68d2663c201a9bbad31c7,587,xSN71/USDC,0x31b85188F676125a66cBaDda8482FE52EBd2905a,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,18,6,3000,200,False,True,False
0x5ced6f9b83e5533437b1bcb71c7bcf66bcd6f73e,158,USDC/xSN51,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x88C23896a91e7f21cba56f4090193730630D5F04,6,18,3000,200,True,False,False
0x62ce95a3e7d8e8451b0506f68fd7814e1fbe2136,147,SIRE/USDC,0x7Ce02e86354EA0Cc3b302AeAdC0Ab56bC7EB44b8,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,18,6,3000,200,False,True,False
0x895ff030e925c06e8b577b9df83be423fb67d499,142,xSN50/USDC,0x6E352B77796857C01fAc416CC18413a9cD09C1b4,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,18,6,3000,200,False,True,False
0xb2643af387e242d679e42486fcbeb1d7d849ae77,128,xSN41/USDC,0x3ABAB2E0A24A66C1841716A738964FF757327e87,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,18,6,3000,200,False,True,False
